time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed,azimuth(calib&flt)
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.608
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.608
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.608
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.964
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.426
23:58:29,15,35.6434,139.5235967,33.7,1605679921,201.4,0.201,112.378
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,112.114
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,112.245
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,111.855
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,111.855
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,111.947
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,111.863
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,111.78
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,111.294
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,111.059
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,110.199
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,109.562
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,108.899
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,108.708
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,108.219
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,107.743
23:58:29,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,107.686
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,107.351
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,106.718
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,106.667
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,106.517
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,106.321
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.851
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.805
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.715
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.537
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.45
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.45
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.364
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.364
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.278
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.236
23:58:30,15,35.643405,139.5236017,33.7,1605679922,201.4,0.113,105.554
